timestamp,observations,average_gross_edge,maximum_gross_edge,average_net_edge,maximum_net_edge,qualified_opportunities
2026-09-21 14:17:00+00:00,69,-0.0013188405797099957,-0.0009999999999998,-0.0033188405797099957,-0.0029999999999998,0
2026-09-21 14:18:00+00:00,56,-0.0012857142857141287,-0.0009999999999998,-0.0032857142857141285,-0.0029999999999998,0
2026-09-21 14:19:00+00:00,13,-0.0014615384615383462,-0.0009999999999998,-0.0034615384615383463,-0.0029999999999998,0
2026-09-21 14:20:00+00:00,69,-0.0013188405797099957,-0.0009999999999998,-0.0033188405797099957,-0.0029999999999998,0
2026-09-21 14:21:00+00:00,69,-0.0013188405797099957,-0.0009999999999998,-0.0033188405797099957,-0.0029999999999998,0
2026-09-21 14:22:00+00:00,66,-0.001348484848484694,-0.0009999999999998,-0.003348484848484694,-0.0029999999999998,0
2026-09-21 14:23:00+00:00,3,-0.0009999999999999,-0.0009999999999998,-0.0029999999999999,-0.0029999999999998,0
2026-09-21 14:24:00+00:00,69,-0.0013333333333331813,-0.0009999999999998,-0.0033333333333331813,-0.0029999999999998,0
2026-09-21 14:25:00+00:00,69,-0.0013333333333331813,-0.0009999999999998,-0.0033333333333331813,-0.0029999999999998,0
2026-09-21 14:26:00+00:00,69,-0.0013333333333331813,-0.0009999999999998,-0.0033333333333331813,-0.0029999999999998,0
2026-09-21 14:27:00+00:00,0,,,,,0
2026-09-21 14:28:00+00:00,69,-0.0013188405797099957,-0.0009999999999998,-0.0033188405797099957,-0.0029999999999998,0
2026-09-21 14:29:00+00:00,69,-0.0013188405797099957,-0.0009999999999998,-0.0033188405797099957,-0.0029999999999998,0
2026-09-21 14:30:00+00:00,69,-0.0013188405797099957,-0.0009999999999998,-0.0033188405797099957,-0.0029999999999998,0
2026-09-21 14:31:00+00:00,10,-0.00109999999999985,-0.0009999999999998,-0.0030999999999998503,-0.0029999999999998,0
2026-09-21 14:32:00+00:00,59,-0.0013559322033896814,-0.0009999999999998,-0.0033559322033896817,-0.0029999999999998,0
2026-09-21 14:33:00+00:00,69,-0.0013188405797099957,-0.0009999999999998,-0.0033188405797099957,-0.0029999999999998,0
2026-09-21 14:34:00+00:00,69,-0.0013188405797099957,-0.0009999999999998,-0.0033188405797099957,-0.0029999999999998,0
2026-09-21 14:35:00+00:00,15,-0.0010666666666665002,-0.0009999999999998,-0.0030666666666665002,-0.0029999999999998,0
2026-09-21 14:36:00+00:00,54,-0.0013888888888887443,-0.0009999999999998,-0.0033888888888887444,-0.0029999999999998,0
2026-09-21 14:37:00+00:00,69,-0.0013188405797099957,-0.0009999999999998,-0.0033188405797099957,-0.0029999999999998,0
2026-09-21 14:38:00+00:00,69,-0.0013188405797099957,-0.0009999999999998,-0.0033188405797099957,-0.0029999999999998,0
2026-09-21 14:39:00+00:00,29,-0.001172413793103293,-0.0009999999999998,-0.0031724137931032933,-0.0029999999999998,0
2026-09-21 14:40:00+00:00,40,-0.001424999999999855,-0.0009999999999998,-0.0034249999999998552,-0.0029999999999998,0
2026-09-21 14:41:00+00:00,69,-0.0013188405797099957,-0.0009999999999998,-0.0033188405797099957,-0.0029999999999998,0
2026-09-21 14:42:00+00:00,69,-0.0013188405797099957,-0.0009999999999998,-0.0033188405797099957,-0.0029999999999998,0
2026-09-21 14:43:00+00:00,30,-0.00116666666666651,-0.0009999999999998,-0.00316666666666651,-0.0029999999999998,0
2026-09-21 14:44:00+00:00,39,-0.0014358974358972924,-0.0009999999999998,-0.0034358974358972925,-0.0029999999999998,0
2026-09-21 14:45:00+00:00,69,-0.0013188405797099957,-0.0009999999999998,-0.0033188405797099957,-0.0029999999999998,0
2026-09-21 14:46:00+00:00,69,-0.0013188405797099957,-0.0009999999999998,-0.0033188405797099957,-0.0029999999999998,0
2026-09-21 14:47:00+00:00,0,,,,,0
2026-09-21 14:48:00+00:00,69,-0.0013188405797099957,-0.0009999999999998,-0.0033188405797099957,-0.0029999999999998,0
2026-09-21 14:49:00+00:00,0,,,,,0
2026-09-21 14:50:00+00:00,0,,,,,0
2026-09-21 14:51:00+00:00,0,,,,,0
2026-09-21 14:52:00+00:00,36,-0.001138888888888725,-0.0009999999999998,-0.003138888888888725,-0.0029999999999998,0
2026-09-21 14:53:00+00:00,0,,,,,0
2026-09-21 14:54:00+00:00,33,-0.0013939393939392606,-0.0009999999999998,-0.003393939393939261,-0.0029999999999998,0
2026-09-21 14:55:00+00:00,0,,,,,0
2026-09-21 14:56:00+00:00,0,,,,,0
